형태소,품사,분류,카운트
당국,Noun,2019-07-24,1
당하기도,Adjective,2019-07-23,2
당하기도,Adjective,2019-07-24,2
당해,Adjective,2019-07-24,3
당했던,Adjective,2019-07-24,1
대,Foreign,2019-07-23,4
대,Foreign,2019-07-24,2
대,Foreign,2019-08-07,1
대,Modifier,2019-07-25,2
대,Suffix,2019-07-25,1
대,Verb,2019-07-23,2
대,Verb,2019-07-24,2
대기,Noun,2019-07-23,1
대기업,Noun,2019-07-24,3
대단해,Adjective,2019-09-01,1
대박,Noun,2019-07-24,1
대박,Noun,2019-07-25,1
대박,Noun,2019-08-07,3
대박,Noun,2019-08-09,1
대박,Noun,2019-08-21,1
대애,Noun,2019-07-23,1
대왕,Noun,2019-07-25,1
대중,Noun,2019-07-30,1
대체,Noun,2019-07-23,3
대체,Noun,2019-07-24,2
대출,Noun,2019-09-01,1
대표,Noun,2019-07-23,1
대표,Noun,2019-07-24,2
대한민국,Noun,2019-07-25,1
댓글,Noun,2019-07-23,3
더,Noun,2019-07-23,1
도,Foreign,2019-07-24,1
도,Josa,2019-07-23,5
도,Josa,2019-07-24,8
도,Josa,2019-07-25,1
도,Josa,2019-07-26,1
도,Josa,2019-08-07,1
도,Noun,2019-07-23,1
도,Noun,2019-07-24,2
도,Noun,2019-07-27,1
도,Noun,2019-07-30,1
도,Noun,2019-08-14,1
도나,Noun,2019-07-25,1
도나,Noun,2019-08-07,1
도대체,Noun,2019-07-25,1
도둑,Noun,2019-07-24,1
도둑질,Noun,2019-07-24,1
도마,Noun,2019-07-23,2
독성,Noun,2019-07-23,3
독자,Noun,2019-07-23,12
독자,Noun,2019-07-24,11
독자,Noun,2019-08-21,1
독자,Noun,2019-08-28,1
독자,Noun,2019-09-01,2
돈,Noun,2019-07-23,2
돈,Noun,2019-07-24,10
돈,Noun,2019-07-25,1
돈,Noun,2019-08-12,1
돈,Noun,2019-09-01,1
돈벌이,Noun,2019-07-24,3
돋보이는,Verb,2019-09-01,1
돌린,Verb,2019-07-24,2
돌봐주셔,Verb,2019-07-23,1
돌파,Noun,2019-07-24,2
동영상,Noun,2019-07-24,3
동영상,Noun,2019-07-25,1
동원,Noun,2019-07-24,1
동해,Noun,2019-07-25,1
돼,Verb,2019-07-24,1
돼,Verb,2019-07-26,1
돼,Verb,2019-08-03,1
돼,Verb,2019-08-17,1
돼,Verb,2019-08-30,1
됐다,Verb,2019-07-23,2
됐다,Verb,2019-07-24,1
됐다,Verb,2019-08-07,1
됐다,Verb,2019-09-01,1
됐다,Verb,2019-09-06,1
되고,Verb,2019-07-26,1
되길래,Verb,2019-07-25,1
되나,Verb,2019-07-23,1
되나,Verb,2019-07-24,1
